name,make,model,build_date,odometer,body_type,fuel,transmission,seats,auctioneer,deadline,link_to_auction,link_to_condition_report,other_specs,unique_identifier,hours,state,redbook_code,redbook_average_wholesale,current_market_retail,auction_registration_link,vin,date_listed,name_of_auction
2022 Subaru Outback,Subaru,Outback,2022,86253,Wagon,Petrol,Automatic,Couldnot Find,Carlins Online,09/12/2024,https://www.carlins.com.au/auctions/catalogues/2969804/2022-subaru-outback-awd-sport-b7a-my22?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2969804/2022-subaru-outback-awd-sport-b7a-my22?filterid=19551c425c,Awd Sport B7A My22 4Wd   Silverbuild     Exp15/09/2025,2022SubaruOutback86253,48,Vic,soon to come,soon to come,soon to come,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2022 Subaru Outback,Subaru,Outback,2022,86253,Wagon,Petrol,Automatic,,Carlins Online,09/12/2024,https://www.carlins.com.au/auctions/catalogues/2969804/2022-subaru-outback-awd-sport-b7a-my22?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2969804/2022-subaru-outback-awd-sport-b7a-my22?filterid=19551c425c,Awd Sport B7A My22 4Wd   Silverbuild     Exp15/09/2025,2022SubaruOutback86253,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2024 Lexus Nx Nx350H,Lexus,Nx Nx350H,2024,4490,Wagon,Hybrid,Automatic,,Carlins Online,09/12/2024,https://www.carlins.com.au/auctions/catalogues/2976105/2024-lexus-nx-nx350h-sports-luxury-aazh20r?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2976105/2024-lexus-nx-nx350h-sports-luxury-aazh20r?filterid=19551c425c,Sports Luxury Aazh20R Fwd   Greybuild     Exp16/07/2025,2024LexusNx Nx350H4490,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2024 Lexus Nx Nx350H,Lexus,Nx Nx350H,2024,4490,Wagon,Hybrid,Automatic,,Carlins Online,09/12/2024,https://www.carlins.com.au/auctions/catalogues/2976105/2024-lexus-nx-nx350h-sports-luxury-aazh20r?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2976105/2024-lexus-nx-nx350h-sports-luxury-aazh20r?filterid=19551c425c,Sports Luxury Aazh20R Fwd   Greybuild     Exp16/07/2025,2024LexusNx Nx350H4490,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2012 Mercedes-Benz C-Class C63,Mercedes-Benz,C-Class C63,2024,4490,Wagon,Hybrid,Automatic,,Carlins Online,09/01/2024,https://www.carlins.com.au/auctions/catalogues/2976105/2024-lexus-nx-nx350h-sports-luxury-aazh20r?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2976105/2024-lexus-nx-nx350h-sports-luxury-aazh20r?filterid=19551c425c,Sports Luxury Aazh20R Fwd   Greybuild     Exp16/07/2025,2024LexusNx Nx350H4490,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2024 Lexus Nx Nx350H,Lexus,Nx Nx350H,2024,4490,Wagon,Hybrid,Automatic,,Carlins Online,09/01/2024,https://www.carlins.com.au/auctions/catalogues/2976105/2024-lexus-nx-nx350h-sports-luxury-aazh20r?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2976105/2024-lexus-nx-nx350h-sports-luxury-aazh20r?filterid=19551c425c,Sports Luxury Aazh20R Fwd   Greybuild     Exp16/07/2025,2024LexusNx Nx350H4490,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2015 Holden Commodore,Holden,Commodore,2015,108951,Sedan,Petrol,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2975104/2015-holden-commodore-sv6-vf-my15?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2975104/2015-holden-commodore-sv6-vf-my15?filterid=19551c425c,Sv6 Vf My15 Rwd   Blackbuild     Exp30/04/2025,2015HoldenCommodore108951,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2015 Holden Commodore,Holden,Commodore,2015,108951,Sedan,Petrol,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2975104/2015-holden-commodore-sv6-vf-my15?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2975104/2015-holden-commodore-sv6-vf-my15?filterid=19551c425c,Sv6 Vf My15 Rwd   Blackbuild     Exp30/04/2025,2015HoldenCommodore108951,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2018 Honda Civic,Honda,Civic,2018,185490,Hatchback,Petrol,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2976026/2018-honda-civic-vti-s-10th-gen-my18?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2976026/2018-honda-civic-vti-s-10th-gen-my18?filterid=19551c425c,Vti-S 10Th Gen My18 Fwd   Blackbuild     Exp13/08/2025,2018HondaCivic185490,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2018 Honda Civic,Honda,Civic,2018,185490,Hatchback,Petrol,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2976026/2018-honda-civic-vti-s-10th-gen-my18?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2976026/2018-honda-civic-vti-s-10th-gen-my18?filterid=19551c425c,Vti-S 10Th Gen My18 Fwd   Blackbuild     Exp13/08/2025,2018HondaCivic185490,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2015 Kia Sportage,Kia,Sportage,2015,95167,Wagon,Petrol,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2976199/2015-kia-sportage-si-premium-sl-my15?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2976199/2015-kia-sportage-si-premium-sl-my15?filterid=19551c425c,Si Premium Sl My15 Fwd   Whitebuild     Exp04/04/2025,2015KiaSportage95167,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
